"","FinAspectRatio","FinAngle","finanglesizecorrected","AngleFactor","RatioFactor"
"Bolbometopon_muricatum",2.82,47.8,6.85,"small","small"
"Calotomus_spinidens",3.25,52.5,2.53,"large","large"
"Cetoscarus_bicolor",2.88,40.8,-1.74,"small","large"
"Chlorurus_bleekeri",3.58,48,2.23,"small","large"
"Chlorurus_microrhinos",3.31,41.8,-2.22,"small","large"
"Chlorurus_sordidus",3.25,38.5,-6.82,"small","large"
"Cryptotomus_roseus",3.04,51.5,-1.18,"large","large"
"Hipposcarus_longiceps",2.91,40,-4.71,"small","large"
"Scarus_altipinnis",3.86,49.5,5.61,"large","large"
"Scarus_chameleon",3.3,37,-8.61,"small","large"
"Scarus_dimidiatus",3.49,45.5,-0.44,"small","large"
"Scarus_flavipectoralis",3.54,37.3,-8.04,"small","large"
"Scarus_frenatus",3.05,38.9,-5.58,"small","large"
"Scarus_ghobban",3.28,40,-4.21,"small","large"
"Scarus_globiceps",3.66,37.5,-7.66,"small","large"
"Scarus_iseri",2.96,46,0.3,"small","large"
"Scarus_niger",2.97,40.5,-3.78,"small","large"
"Scarus_oviceps",3.57,43.5,-0.86,"small","large"
"Scarus_psittacus",3.4,41,-4.3,"small","large"
"Scarus_rivulatus",3.22,39.7,-5.06,"small","large"
"Scarus_schlegeli",3.47,40,-4.77,"small","large"
"Scarus_spinus",3.4,43.7,-1.5,"small","large"
"Scarus_taeniopterus",2.84,44.7,0.3,"small","small"
"Sparisoma_atomarium",2.48,50.4,-0.22,"large","small"
"Sparisoma_aurofrenatum",3.06,41.8,-3.26,"small","large"
"Sparisoma_chrysopterum",2.84,46.2,1.05,"small","small"
"Sparisoma_radians",2.5,47.3,-2.34,"small","small"
"Sparisoma_rubripinne",2.58,39.5,-4.26,"small","small"
"Sparisoma_viride",2.9,37.5,-6.26,"small","large"
"Anampses_caeruleopunctatus",2.84,36.2,-10,"small","small"
"Anampses_geographicus",2.72,39.8,-7.15,"small","small"
"Anampses_meleagrides",2.1,58,9.33,"large","small"
"Anampses_neoguinaicus",2.79,41.2,-5.91,"small","small"
"Bodianus_mesothorax",2.04,51,3.48,"large","small"
"Bodianus_perditio",2.68,55,7.13,"large","small"
"Bodianus_rufus",2.38,50,5.45,"large","small"
"Cheilinus_chlorourus",1.93,50.1,3.74,"large","small"
"Cheilinus_fasciatus",1.96,53,7.75,"large","small"
"Cheilinus_oxycephalus",1.8,60.8,12.53,"large","small"
"Cheilinus_trilobatus",1.8,52.8,7.4,"large","small"
"Cheilinus_undulatus",2.19,45.5,6.83,"small","small"
"Cheilio_inermis",2.28,55.3,10.18,"large","small"
"Choerodon_anchorago",2.33,52.2,7.24,"large","small"
"Choerodon_cephalotes",1.77,58.3,13.06,"large","small"
"Choerodon_fasciatus",2.94,48.3,2.08,"large","large"
"Choerodon_schoenleinii",1.97,60.8,15.48,"large","small"
"Choerodon_venustus",4.41,58,14.68,"large","large"
"Clepticus_parrae",4.48,33.2,-13.19,"small","large"
"Coris_aygula",2.77,50.6,5.48,"large","small"
"Coris_batuensis",2.96,50.3,2.63,"large","large"
"Coris_dorsomacula",2.92,47,-2.11,"small","large"
"Coris_gaimard",3.11,40,-5.63,"small","large"
"Coris_pictoides",2.63,56.9,6.28,"large","small"
"Cymolutes_praetextatus",2.92,60.5,10.44,"large","large"
"Cymolutes_torquatus",2.11,56.1,5.87,"large","small"
"Diproctacanthus_xanthurus",1.9,59.7,8.42,"large","small"
"Epibulus_insidiator",2.25,45.8,1.22,"small","small"
"Gomphosus_varius",3.37,38.5,-8.26,"small","large"
"Halichoeres_maculipinna",2.78,46.7,-1.75,"small","small"
"Halichoeres_biocellatus",2.72,55.4,6.56,"large","small"
"Halichoeres_bivittatus",2.74,52.4,3.62,"large","small"
"Halichoeres_chloropterus",2.45,55.3,7.82,"large","small"
"Halichoeres_chrysus",3.07,55.5,5.49,"large","large"
"Halichoeres_garnoti",3.02,47.3,-0.11,"small","large"
"Halichoeres_hortulanus",3.54,39.5,-6.22,"small","large"
"Halichoeres_margaritaceus",2.76,48.8,0.05,"large","small"
"Halichoeres_marginatus",3.08,45.2,-2.56,"small","large"
"Halichoeres_melanurus",2.21,56.2,6.26,"large","small"
"Halichoeres_miniatus",2.58,55.5,5.74,"large","small"
"Halichoeres_nebulosus",2.54,55.8,5.44,"large","small"
"Halichoeres_nigrescens",2.27,59.3,7.57,"large","small"
"Halichoeres_ornatissimus",2.74,55,4.36,"large","small"
"Halichoeres_pictus",3.88,39.3,-10.42,"small","large"
"Halichoeres_poeyi",2.8,52.3,2.58,"large","small"
"Halichoeres_prosopeion",2.73,53.3,4.26,"large","small"
"Halichoeres_radiatus",3.14,49.5,1.2,"large","large"
"Halichoeres_scapularis",2.39,54.2,3.24,"large","small"
"Halichoeres_trimaculatus",3.21,49.7,1.32,"large","large"
"Hemigymnus_melapterus",2.63,45.3,-0.69,"small","small"
"Hologymnosus_annulatus",3.05,32,-14.34,"small","large"
"Hologymnosus_doliatus",3.42,30.5,-16.01,"small","large"
"Labrichthys_unilineatus",1.83,53.3,5.83,"large","small"
"Labroides_bicolor",2.94,52.7,3.13,"large","large"
"Labroides_dimidiatus",3.42,54.8,3.49,"large","large"
"Labropsis_australis",1.87,57,7.79,"large","small"
"Lachnolaimus_maximus",2.62,35,-7.36,"small","small"
"Leptojulis_cyanopleura",4,52,0.72,"large","large"
"Macropharyngodon_choati",2.73,58.3,8.95,"large","small"
"Macropharyngodon_kuiteri",3.09,50.9,0.71,"large","large"
"Macropharyngodon_meleagris",3.1,49.5,1.61,"large","large"
"Macropharyngodon_negrosensis",2.79,51.1,1.07,"large","small"
"Novaculichthys_taeniourus",2.16,44.8,-1.26,"small","small"
"Oxycheilinus_bimaculatus",1.58,61.3,11.47,"large","small"
"Oxycheilinus_digrammus",1.94,52.6,5.75,"large","small"
"Oxycheilinus_unifasciatus",2.11,59.3,12.48,"large","small"
"Pseudocheilinus_octotaenia",1.32,66.3,16.16,"large","small"
"Pseudocoris_yamashiroi",3.76,30.1,-19.89,"small","large"
"Pseudodax_moluccanus",3.53,52,6.06,"large","large"
"Pseudojuloides_cerasinus",2.58,51.8,1.61,"large","small"
"Pseudolabrus_guentheri",2.12,61.9,13.63,"large","small"
"Pteragogus_cryptus",1.38,57,6.27,"large","small"
"Stethojulis_bandanensis",4.15,23.2,-25.96,"small","large"
"Stethojulis_trilineata",3.76,22.4,-25.55,"small","large"
"Thalassoma_amblycephalum",3.68,43.3,-6.34,"small","large"
"Thalassoma_bifasciatum",3.72,42,-7.98,"small","large"
"Thalassoma_hardwicke",3.79,29.9,-17.14,"small","large"
"Thalassoma_jansenii",3.91,33.2,-14.11,"small","large"
"Thalassoma_lunare",3.54,38.3,-8.86,"small","large"
"Thalassoma_lutescens",3.4,41.2,-7.32,"small","large"
"Thalassoma_quinquevittatum",3.93,33,-14.66,"small","large"
"Thalassoma_trilobatum",3.69,36.5,-9.29,"small","large"
"Wetmorella_nigropinnata",1.66,57,5.48,"large","small"
"Xyrichtys_martinicensis",3.12,42.6,-8.04,"small","large"
"Xyrichtys_novacula",2.88,54.2,6.08,"large","large"
