,"group","gapedistance_mm","protrusiondistance_mm","bodymass_g"
"Bolbometopon_muricatum","parrotfish",28.15,3.55,5920.1
"Calotomus_carolinus","parrotfish",18.47,1.2,467.4
"Calotomus_spinidens","parrotfish",5.15,1.1,11.2
"Cetoscarus_bicolor","parrotfish",21.48,1.94,1956.2
"Chlorurus_bleekeri","parrotfish",10.13,1.9,207
"Chlorurus_microrhinos","parrotfish",13.1,3.33,698
"Chlorurus_sordidus","parrotfish",12.23,2.98,283.7
"Cryptotomus_roseus","parrotfish",1.83,0.13,1.7
"Hipposcarus_longiceps","parrotfish",14.38,5.58,432.3
"Leptoscarus_vaigiensis","parrotfish",16.67,2.37,306.3
"Scarus_altipinnis","parrotfish",13.28,4.65,763.5
"Scarus_chameleon","parrotfish",11.33,4.33,231.6
"Scarus_dimidiatus","parrotfish",8.05,2.9,183.5
"Scarus_flavipectoralis","parrotfish",11.2,4.53,279.1
"Scarus_forsteni","parrotfish",9.7,2.6,289
"Scarus_frenatus","parrotfish",10.37,4.23,509.5
"Scarus_ghobban","parrotfish",14.27,4.57,612
"Scarus_globiceps","parrotfish",9,1.37,316.3
"Scarus_iseri","parrotfish",9.98,1.57,217.3
"Scarus_niger","parrotfish",10.93,4.47,584
"Scarus_oviceps","parrotfish",10.9,5.08,551.5
"Scarus_psittacus","parrotfish",10.27,4.53,287.8
"Scarus_quoyi","parrotfish",11.03,3.77,262.3
"Scarus_rivulatus","parrotfish",10.6,5.07,418.8
"Scarus_rubroviolaceus","parrotfish",15.6,3.98,1242.8
"Scarus_schlegeli","parrotfish",11.23,3.77,415.1
"Scarus_spinus","parrotfish",8.73,4.13,307.9
"Scarus_taeniopterus","parrotfish",13.43,4.1,538.3
"Sparisoma_atomarium","parrotfish",3.77,0.37,7.1
"Sparisoma_aurofrenatum","parrotfish",14.45,2.33,338.8
"Sparisoma_chrysopterum","parrotfish",14.76,1.87,319.2
"Sparisoma_radians","parrotfish",4.95,0.63,14.1
"Sparisoma_rubripinne","parrotfish",22.28,0.53,839.5
"Sparisoma_viride","parrotfish",20.89,4.2,837.5
"Anampses_caeruleopunctatus","wrasse",7.87,5.23,153.7
"Anampses_geographicus","wrasse",5.6,7,91.3
"Anampses_meleagrides","wrasse",4,2.55,27.6
"Anampses_neoguinaicus","wrasse",4.83,5.6,81.6
"Bodianus_mesothorax","wrasse",7.9,3.93,61.5
"Bodianus_perditio","wrasse",9.1,4.9,48.2
"Bodianus_rufus","wrasse",17.62,10.54,484.2
"Cheilinus_chlorourus","wrasse",11.77,6.33,137.3
"Cheilinus_fasciatus","wrasse",19.27,8.23,298.1
"Cheilinus_oxycephalus","wrasse",7,4,36.5
"Cheilinus_trilobatus","wrasse",17.33,8.93,267.4
"Cheilinus_undulatus","wrasse",79.53,40.4,28850
"Cheilio_inermis","wrasse",22.43,5.5,325.3
"Choerodon_anchorago","wrasse",16.63,5.83,362.6
"Choerodon_cephalotes","wrasse",20.4,9.5,300
"Choerodon_fasciatus","wrasse",12.08,4.1,151.1
"Choerodon_schoenleinii","wrasse",15.27,7.9,283.2
"Choerodon_venustus","wrasse",32.77,17.53,1135
"Clepticus_parrae","wrasse",7.6,0.53,134.6
"Coris_aurilineata","wrasse",4.13,2.37,12.2
"Coris_aygula","wrasse",13.43,9.25,325.8
"Coris_batuensis","wrasse",6.13,2.2,55.2
"Coris_dorsomacula","wrasse",4.97,3.03,20.3
"Coris_gaimard","wrasse",9.63,6.6,228.4
"Coris_pictoides","wrasse",3.73,1.7,7.1
"Cymolutes_praetextatus","wrasse",4.57,1.27,10.5
"Cymolutes_torquatus","wrasse",5.48,1.53,9.3
"Diproctacanthus_xanthurus","wrasse",2.36,1.38,4.5
"Epibulus_insidiator","wrasse",16.4,48.6,472.6
"Gomphosus_varius","wrasse",8,12.4,104.3
"Halichoeres_maculipinna","wrasse",5,1.57,32.1
"Halichoeres_biocellatus","wrasse",5.43,2.33,24.6
"Halichoeres_bivittatus","wrasse",5.04,1.2,25.6
"Halichoeres_chloropterus","wrasse",5.87,4.1,63
"Halichoeres_chrysus","wrasse",3.7,0.73,10.9
"Halichoeres_garnoti","wrasse",6.19,2.1,66.4
"Halichoeres_hortulanus","wrasse",8.93,6.45,214.3
"Halichoeres_margaritaceus","wrasse",5.47,2.77,26.1
"Halichoeres_marginatus","wrasse",4.35,2.95,52
"Halichoeres_melanurus","wrasse",3.5,2.6,11.4
"Halichoeres_melasmapomus","wrasse",2.85,2,4.2
"Halichoeres_miniatus","wrasse",4.07,2.37,12.9
"Halichoeres_nebulosus","wrasse",4.15,1.15,8.5
"Halichoeres_nigrescens","wrasse",2.8,1.9,3.3
"Halichoeres_ornatissimus","wrasse",2.97,1.77,7
"Halichoeres_pictus","wrasse",3.94,0.7,13.3
"Halichoeres_poeyi","wrasse",5.27,0.6,13.3
"Halichoeres_prosopeion","wrasse",4.98,3.05,21.4
"Halichoeres_radiatus","wrasse",5.4,2,35.6
"Halichoeres_scapularis","wrasse",3.9,2.17,5.6
"Halichoeres_trimaculatus","wrasse",5.97,3.17,33.7
"Hemigymnus_melapterus","wrasse",11.23,13.13,177.7
"Hologymnosus_annulatus","wrasse",8.95,4.55,139.8
"Hologymnosus_doliatus","wrasse",8.93,4.53,123.5
"Labrichthys_unilineatus","wrasse",4.93,2.13,63.4
"Labroides_bicolor","wrasse",3.73,1.47,14.8
"Labroides_dimidiatus","wrasse",2.03,1.23,4.4
"Labropsis_australis","wrasse",3.73,1,18.9
"Lachnolaimus_maximus","wrasse",46.99,14.22,2218.2
"Leptojulis_cyanopleura","wrasse",2.6,1.07,4.5
"Macropharyngodon_choati","wrasse",4.9,1.9,17.2
"Macropharyngodon_kuiteri","wrasse",3.03,1.8,9.6
"Macropharyngodon_meleagris","wrasse",5.35,2.48,47.6
"Macropharyngodon_negrosensis","wrasse",3.17,1.27,10.7
"Novaculichthys_taeniourus","wrasse",13.4,6.13,169.8
"Oxycheilinus_bimaculatus","wrasse",8.47,2.53,12.3
"Oxycheilinus_digrammus","wrasse",13.5,7.8,97.5
"Oxycheilinus_unifasciatus","wrasse",17.17,8.4,100
"Pseudocheilinus_octotaenia","wrasse",6.57,3.53,9.9
"Pseudocoris_yamashiroi","wrasse",3.47,3.13,11
"Pseudodax_moluccanus","wrasse",8.7,3.15,183.7
"Pseudojuloides_cerasinus","wrasse",2.5,1.83,9.6
"Pseudolabrus_guentheri","wrasse",9.1,3.4,36.4
"Pteragogus_cryptus","wrasse",4.93,2.03,6.6
"Stethojulis_bandanensis","wrasse",4.97,4.27,19.6
"Stethojulis_trilineata","wrasse",6.23,3.87,45.5
"Thalassoma_amblycephalum","wrasse",4.63,3.37,14.1
"Thalassoma_bifasciatum","wrasse",4.04,4.1,11.1
"Thalassoma_hardwicke","wrasse",8.63,6.27,85.7
"Thalassoma_jansenii","wrasse",8.43,5.8,70.8
"Thalassoma_lunare","wrasse",7.77,5.23,79
"Thalassoma_lutescens","wrasse",5.13,4,30.7
"Thalassoma_quinquevittatum","wrasse",7.8,5.87,55.8
"Thalassoma_trilobatum","wrasse",13.43,6.67,203.8
"Wetmorella_nigropinnata","wrasse",3.03,1.17,3.8
"Xiphocheilus_typus","wrasse",12,2.87,42.1
"Xyrichtys_martinicensis","wrasse",3.3,4.2,7
"Xyrichtys_novacula","wrasse",7.03,2.33,40.4
